assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCF_000013705.1	GCF_000013705.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylobacillus_flagellatus_KT	NCBI	265072	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Methylobacillus flagellatus
GCF_000014765.1	GCF_000014765.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_eutropha_C91	NCBI	335283	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas eutropha
GCF_000015565.1	GCF_000015565.1_Bacteria_Proteobacteria_Betaproteobacteria_Verminephrobacter_eiseniae_EF01-2	NCBI	391735	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Verminephrobacter	Verminephrobacter eiseniae
GCF_000015725.1	GCF_000015725.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylibium_petroleiphilum_PM1	NCBI	420662	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Methylibium	Methylibium petroleiphilum
GCF_000020125.1	GCF_000020125.1_Bacteria_Proteobacteria_Betaproteobacteria_Paraburkholderia_phytofirmans_PsJN	NCBI	398527	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia phytofirmans
GCF_000020205.1	GCF_000020205.1_Bacteria_Proteobacteria_Betaproteobacteria_Ralstonia_pickettii_12J	NCBI	402626	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii
GCF_000023345.1	GCF_000023345.1_Bacteria_Proteobacteria_Betaproteobacteria_Variovorax_paradoxus_S110	NCBI	543728	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus
GCF_000023705.1	GCF_000023705.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylotenera_mobilis_JLW8	NCBI	583345	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylotenera	Methylotenera mobilis
GCF_000023745.1	GCF_000023745.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylovorus_glucosotrophus_SIP3-4	NCBI	582744	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylovorus	Methylovorus glucosotrophus
GCF_000025565.1	GCF_000025565.1_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacter_cloacae_ATCC_13047	NCBI	716541	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
GCF_000025705.1	GCF_000025705.1_Bacteria_Proteobacteria_Betaproteobacteria_Sideroxydans_lithotrophicus_ES-1	NCBI	580332	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	Sideroxydans lithotrophicus
GCF_000070465.1	GCF_000070465.1_Bacteria_Proteobacteria_Betaproteobacteria_Bordetella_avium_197N	NCBI	360910	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella avium
GCF_000093025.1	GCF_000093025.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylotenera_versatilis_301	NCBI	666681	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylotenera	Methylotenera versatilis
GCF_000145255.1	GCF_000145255.1_Bacteria_Proteobacteria_Betaproteobacteria_Gallionella_capsiferriformans_ES-2	NCBI	395494	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella	Gallionella capsiferriformans
GCF_000146165.2	GCF_000146165.2_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_oneidensis_MR-1	NCBI	211586	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella oneidensis
GCF_000196295.1	GCF_000196295.1_Bacteria_Proteobacteria_Betaproteobacteria_Neisseria_lactamica_020-06	NCBI	489653	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria lactamica
GCF_000196355.1	GCF_000196355.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosospira_multiformis_ATCC_25196	NCBI	323848	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira multiformis
GCF_000203915.1	GCF_000203915.1_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderia_ambifaria_AMMD	NCBI	339670	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ambifaria
GCF_000214035.1	GCF_000214035.1_Bacteria_Proteobacteria_Betaproteobacteria_Methyloversatilis_universalis_FAM5	NCBI	1000565	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis	Methyloversatilis universalis
GCF_000297055.2	GCF_000297055.2_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuricella_denitrificans_skB26	NCBI	1163617	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfuricella	Sulfuricella denitrificans
GCF_000355765.4	GCF_000355765.4_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosospira_lacus_APG3	NCBI	1288494	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira lacus
GCF_000373385.1	GCF_000373385.1_Bacteria_Proteobacteria_Betaproteobacteria_Thiobacillus_thioparus_DSM_505	NCBI	1123393	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Thiobacillus thioparus
GCF_000378225.1	GCF_000378225.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylophilus_methylotrophus_ATCC_53528	NCBI	1122236	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus	Methylophilus methylotrophus
GCF_000521505.1	GCF_000521505.1_Bacteria_Proteobacteria_Betaproteobacteria_Advenella_mimigardefordensis_DPN7	NCBI	1247726	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	Advenella mimigardefordensis
GCF_000600005.1	GCF_000600005.1_Bacteria_Proteobacteria_Betaproteobacteria_Snodgrassella_alvi_wkB2	NCBI	1196094	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi
GCF_000617925.1	GCF_000617925.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylobacillus_glycogenes_JCM_2850	NCBI	1236959	12	12	80.00	0.00	12	No	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Methylobacillus glycogenes
GCF_000619905.2	GCF_000619905.2_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosospira_briensis_C-128	NCBI	1266925	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira briensis
GCF_000620045.1	GCF_000620045.1_Bacteria_Proteobacteria_Gammaproteobacteria_Halomonas_halodenitrificans_DSM_735	NCBI	1121941	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas halodenitrificans
GCF_000767615.3	GCF_000767615.3_Bacteria_Proteobacteria_Betaproteobacteria_Pandoraea_pnomenusa_DSM_16536	NCBI	93220	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea pnomenusa
GCF_000807775.2	GCF_000807775.2_Bacteria_Proteobacteria_Betaproteobacteria_Pandoraea_fibrosis_6399	NCBI	1891094	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea fibrosis
GCF_000828635.1	GCF_000828635.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuritalea_hydrogenivorans_DSM_22779	NCBI	1223802	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Sulfuritalea	Sulfuritalea hydrogenivorans
GCF_000828915.1	GCF_000828915.1_Bacteria_Proteobacteria_Betaproteobacteria_Serpentinomonas_mccroryi_B1	NCBI	1458426	13	13	86.67	0.00	13	No	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Serpentinomonas	Serpentinomonas mccroryi
GCF_000959445.1	GCF_000959445.1_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderia_vietnamiensis_LMG_10929	NCBI	1449978	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
GCF_000974685.2	GCF_000974685.2_Bacteria_Proteobacteria_Betaproteobacteria_Ferriphaselus_amnicola_OYT1	NCBI	1188319	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Ferriphaselus	Ferriphaselus amnicola
GCF_001007935.1	GCF_001007935.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_communis_Nm2	NCBI	44574	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas communis
GCF_001281465.1	GCF_001281465.1_Bacteria_Proteobacteria_Betaproteobacteria_Cupriavidus_gilardii_CR3	NCBI	1267562	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus gilardii
GCF_001455205.1	GCF_001455205.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_ureae_Nm10	NCBI	44577	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas ureae
GCF_001465595.2	GCF_001465595.2_Bacteria_Proteobacteria_Betaproteobacteria_Pandoraea_apista_DSM_16535	NCBI	93218	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea apista
GCF_001514355.1	GCF_001514355.1_Bacteria_Proteobacteria_Betaproteobacteria_Achromobacter_denitrificans_USDA-ARS-USMARC-56712	NCBI	32002	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter denitrificans
GCF_001584165.1	GCF_001584165.1_Bacteria_Proteobacteria_Betaproteobacteria_Collimonas_arenae_Ter10	NCBI	279058	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas arenae
GCF_001718415.1	GCF_001718415.1_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderia_pseudomultivorans_SUB-INT23-BP2	NCBI	1207504	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomultivorans
GCF_001718795.1	GCF_001718795.1_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderia_latens_AU17928	NCBI	488446	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia latens
GCF_001742165.1	GCF_001742165.1_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderia_stabilis_ATCC_BAA-67	NCBI	95485	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia stabilis
GCF_001854325.1	GCF_001854325.1_Bacteria_Proteobacteria_Betaproteobacteria_Cupriavidus_malaysiensis_USMAA1020	NCBI	367825	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus malaysiensis
GCF_001931675.1	GCF_001931675.1_Bacteria_Proteobacteria_Betaproteobacteria_Pandoraea_thiooxydans_ATSB16	NCBI	445709	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea thiooxydans
GCF_001955695.1	GCF_001955695.1_Bacteria_Proteobacteria_Betaproteobacteria_Rhodoferax_koreense_DCY-110	NCBI	1842727	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax koreense
GCF_001955715.1	GCF_001955715.1_Bacteria_Proteobacteria_Betaproteobacteria_Rhodoferax_saidenbachensis_DSM_22694	NCBI	1484693	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax saidenbachensis
GCF_001955735.1	GCF_001955735.1_Bacteria_Proteobacteria_Betaproteobacteria_Rhodoferax_antarcticus_DSMZ24876	NCBI	81479	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax antarcticus
GCF_002119665.1	GCF_002119665.1_Bacteria_Proteobacteria_Betaproteobacteria_Bordetella_genomosp_13_AU7206	NCBI	463040	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 13
GCF_002119725.1	GCF_002119725.1_Bacteria_Proteobacteria_Betaproteobacteria_Bordetella_genomosp_9_AU17164	NCBI	1416803	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
GCF_002291405.1	GCF_002291405.1_Bacteria_Proteobacteria_Betaproteobacteria_Variovorax_boronicumulans_J1	NCBI	436515	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax boronicumulans
GCF_002902925.1	GCF_002902925.1_Bacteria_Proteobacteria_Betaproteobacteria_Paraburkholderia_terrae_DSM_17804	NCBI	311230	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia terrae
GCF_002951835.1	GCF_002951835.1_Bacteria_Proteobacteria_Betaproteobacteria_Simonsiella_muelleri_ATCC_29453	NCBI	641147	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella	Simonsiella muelleri
GCF_003008535.1	GCF_003008535.1_Bacteria_Proteobacteria_Betaproteobacteria_Ottowia_oryzae_KADR8-3	NCBI	2109914	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia oryzae
GCF_003111665.1	GCF_003111665.1_Bacteria_Proteobacteria_Betaproteobacteria_Azoarcus_communis_TSNA42	NCBI	41977	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus communis
GCF_003112435.1	GCF_003112435.1_Bacteria_Proteobacteria_Betaproteobacteria_Novimethylophilus_kurashikiensis_La2-4	NCBI	1825523	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Novimethylophilus	Novimethylophilus kurashikiensis
GCF_003330785.1	GCF_003330785.1_Bacteria_Proteobacteria_Betaproteobacteria_Paraburkholderia_graminis_PHS1	NCBI	60548	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia graminis
GCF_003330825.1	GCF_003330825.1_Bacteria_Proteobacteria_Betaproteobacteria_Paraburkholderia_terricola_mHS1	NCBI	169427	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia terricola
GCF_003345255.1	GCF_003345255.1_Bacteria_Proteobacteria_Betaproteobacteria_Thauera_hydrothermalis_GD-2	NCBI	2184083	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera hydrothermalis
GCF_003609995.1	GCF_003609995.1_Bacteria_Proteobacteria_Betaproteobacteria_Sutterella_megalosphaeroides_6FBBBH3	NCBI	2494234	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella megalosphaeroides
GCF_003730115.1	GCF_003730115.1_Bacteria_Proteobacteria_Betaproteobacteria_Pseudomethylobacillus_aquaticus_H-5	NCBI	2676064	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Pseudomethylobacillus	Pseudomethylobacillus aquaticus
GCF_003851125.1	GCF_003851125.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuriferula_multivorans_TTN	NCBI	1559896	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfuriferula	Sulfuriferula multivorans
GCF_003864975.1	GCF_003864975.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuriferula_thiophila_mst6	NCBI	1781211	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfuriferula	Sulfuriferula thiophila
GCF_003865015.1	GCF_003865015.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfurisoma_sediminicola_BSN1	NCBI	1381557	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Sulfurisoma	Sulfurisoma sediminicola
GCF_003967275.1	GCF_003967275.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuritortus_calidifontis_J1A	NCBI	1914471	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Sulfuritortus	Sulfuritortus calidifontis
GCF_004346685.1	GCF_004346685.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfurirhabdus_autotrophica_DSM_100309	NCBI	1706046	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfurirhabdus	Sulfurirhabdus autotrophica
GCF_004421005.1	GCF_004421005.1_Bacteria_Proteobacteria_Betaproteobacteria_Massilia_plicata_DSM_17505	NCBI	321984	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia plicata
GCF_004551665.1	GCF_004551665.1_Bacteria_Proteobacteria_Betaproteobacteria_Kerstersia_gyiorum_SWMUKG01	NCBI	206506	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Kerstersia	Kerstersia gyiorum
GCF_005221305.1	GCF_005221305.1_Bacteria_Proteobacteria_Betaproteobacteria_Neisseria_subflava_ATCC_49275	NCBI	28449	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava
GCF_006363915.1	GCF_006363915.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylophilus_medardicus_MMS-M-51	NCBI	2588534	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus	Methylophilus medardicus
GCF_006742785.1	GCF_006742785.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_stercoris_KYUHI-S	NCBI	1444684	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas stercoris
GCF_007556815.1	GCF_007556815.1_Bacteria_Proteobacteria_Betaproteobacteria_Paraburkholderia_megapolitana_LMG_23650	NCBI	420953	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia megapolitana
GCF_007844305.1	GCF_007844305.1_Bacteria_Proteobacteria_Betaproteobacteria_Denitratisoma_oestradiolicum_DSM_16959	NCBI	311182	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Denitratisoma	Denitratisoma oestradiolicum
GCF_008271425.1	GCF_008271425.1_Bacteria_Proteobacteria_Betaproteobacteria_Cupriavidus_campinensis_MJ1	NCBI	151783	13	13	86.67	0.00	13	No	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus campinensis
GCF_008274805.1	GCF_008274805.1_Bacteria_Proteobacteria_Betaproteobacteria_Oryzomicrobium_terrae_TPP412	NCBI	1735038	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Oryzomicrobium	Oryzomicrobium terrae
GCF_008329925.1	GCF_008329925.1_Bacteria_Proteobacteria_Betaproteobacteria_Sphaerotilus_natans_D-507	NCBI	639200	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Sphaerotilus	Sphaerotilus natans
GCF_008805035.1	GCF_008805035.1_Bacteria_Proteobacteria_Betaproteobacteria_Eikenella_exigua_PXX	NCBI	2528037	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella exigua
GCF_009856625.1	GCF_009856625.1_Bacteria_Proteobacteria_Betaproteobacteria_Aquitalea_denitrificans_5YN1-3	NCBI	519081	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Aquitalea	Aquitalea denitrificans
GCF_009937995.1	GCF_009937995.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuriferula_nivalis_SGTM	NCBI	2675298	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfuriferula	Sulfuriferula nivalis
GCF_009938015.1	GCF_009938015.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuriferula_plumbiphila_Gro7	NCBI	171865	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfuriferula	Sulfuriferula plumbiphila
